catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Tomás Nido,,121,25,80.1,0.67,17,1.93,1.86,1.94,1,1.58,-.--,1.58
J.T. Realmuto,,143,28,88.4,0.68,37,1.89,1.88,1.89,2,1.42,1.34,1.51
Willson Contreras,,112,27,84.7,0.68,27,1.92,1.9,1.92,2,1.56,1.56,-.--
Jake Rogers,,116,24,79.2,0.65,8,1.91,1.9,1.92,3,1.63,1.66,1.62
Russell Martin,,119,36,83.6,0.75,9,2.04,1.92,2.07,0,-.--,-.--,-.--
Kyle Higashioka,,147,29,82.5,0.78,6,1.94,1.92,1.96,0,-.--,-.--,-.--
Sean Murphy,,133,24,87.4,0.79,6,1.98,1.92,2.01,0,-.--,-.--,-.--
Elias Díaz,,134,28,85.3,0.71,18,1.93,1.93,1.92,3,1.47,1.46,1.5
Gary Sánchez,,147,26,87.9,0.72,24,1.93,1.94,1.92,1,1.44,-.--,1.44
Yadier Molina,,138,36,84.4,0.69,13,1.97,1.94,2,1,1.45,-.--,1.45
Manny Piña,,158,32,83.2,0.66,16,1.95,1.94,1.96,2,1.63,1.58,1.69
Jacob Stallings,,134,29,84.7,0.7,9,1.98,1.95,2,1,1.53,-.--,1.53
Luke Maile,,141,28,83.2,0.7,13,1.99,1.95,2.02,1,1.6,-.--,1.6
Mike Zunino,,139,28,81.6,0.69,20,1.97,1.96,1.98,3,1.59,-.--,1.59
Martín Maldonado,,117,32,87.6,0.77,28,1.96,1.96,1.97,0,-.--,-.--,-.--
Welington Castillo,,145,32,79.9,0.65,19,1.96,1.96,1.96,0,-.--,-.--,-.--
Tony Wolters,,115,27,79.6,0.64,34,1.96,1.97,1.95,3,1.54,1.54,1.54
Reese McGuire,,141,24,79,0.63,9,1.97,1.97,1.96,3,1.62,-.--,1.62
Jorge Alfaro,,146,26,88.2,0.75,27,1.94,1.97,1.91,1,1.68,-.--,1.68
Austin Hedges,,135,26,83.2,0.68,18,1.92,1.97,1.9,3,1.55,1.62,1.51
Roberto Pérez,,114,30,82.6,0.73,32,1.96,1.97,1.95,0,-.--,-.--,-.--
Anthony Bemboom,,108,29,83.5,0.69,7,1.99,1.97,2.01,1,1.58,-.--,1.58
Kevan Smith,,108,31,83,0.77,11,2.06,1.98,2.07,1,1.51,-.--,1.51
Dustin Garneau,,133,31,78.1,0.68,9,1.97,1.98,1.96,1,1.62,-.--,1.62
Pedro Severino,,110,25,83.8,0.74,25,1.99,1.99,1.99,0,-.--,-.--,-.--
Sandy León,,111,30,78.7,0.67,15,2.02,1.99,2.04,2,1.57,1.57,-.--
Grayson Greiner,,116,26,85.8,0.76,25,1.97,1.99,1.97,2,1.51,1.49,1.53
Josh Phegley,,133,31,80,0.66,32,1.99,1.99,1.98,3,1.85,1.85,-.--
